id, region_id, county_id,code,community_type,name,name_ext
44, 02, 08, 02, 1, Kłodzko, gmina miejska 
45, 02, 08, 03, 1, Kudowa-Zdrój, gmina miejska 
46, 02, 08, 04, 1, Nowa Ruda, gmina miejska 
47, 02, 08, 05, 1, Polanica-Zdrój, gmina miejska 
48, 02, 08, 06, 3, Bystrzyca Kłodzka, gmina miejsko-wiejska 
49, 02, 08, 07, 2, Kłodzko, gmina wiejska 
50, 02, 08, 08, 3, Lądek-Zdrój, gmina miejsko-wiejska 
51, 02, 08, 09, 2, Lewin Kłodzki, gmina wiejska 
52, 02, 08, 10, 3, Międzylesie, gmina miejsko-wiejska 
53, 02, 08, 11, 2, Nowa Ruda, gmina wiejska 
54, 02, 08, 12, 3, Radków, gmina miejsko-wiejska 
55, 02, 08, 13, 3, Stronie Śląskie, gmina miejsko-wiejska 
56, 02, 08, 14, 3, Szczytna, gmina miejsko-wiejska 
57, 02, 09, 01, 1, Chojnów, gmina miejska 
58, 02, 09, 02, 2, Chojnów, gmina wiejska 
59, 02, 09, 03, 2, Krotoszyce, gmina wiejska 
60, 02, 09, 04, 2, Kunice, gmina wiejska 
61, 02, 09, 05, 2, Legnickie Pole, gmina wiejska 
62, 02, 09, 06, 2, Miłkowice, gmina wiejska 
63, 02, 09, 07, 3, Prochowice, gmina miejsko-wiejska 
64, 02, 09, 08, 2, Ruja, gmina wiejska 
65, 02, 10, 01, 1, Lubań, gmina miejska 
66, 02, 10, 02, 1, Świeradów-Zdrój, gmina miejska 
67, 02, 10, 03, 3, Leśna, gmina miejsko-wiejska 
68, 02, 10, 04, 2, Lubań, gmina wiejska 
69, 02, 10, 05, 3, Olszyna, gmina miejsko-wiejska 
70, 02, 10, 06, 2, Platerówka, gmina wiejska 
71, 02, 10, 07, 2, Siekierczyn, gmina wiejska 
72, 02, 11, 01, 1, Lubin, gmina miejska 
73, 02, 11, 02, 2, Lubin, gmina wiejska 
74, 02, 11, 03, 2, Rudna, gmina wiejska 
75, 02, 11, 04, 3, Ścinawa, gmina miejsko-wiejska 
76, 02, 12, 01, 3, Gryfów Śląski, gmina miejsko-wiejska 
77, 02, 12, 02, 3, Lubomierz, gmina miejsko-wiejska 
78, 02, 12, 03, 3, Lwówek Śląski, gmina miejsko-wiejska 
79, 02, 12, 04, 3, Mirsk, gmina miejsko-wiejska 
80, 02, 12, 05, 3, Wleń, gmina miejsko-wiejska 
81, 02, 13, 01, 2, Cieszków, gmina wiejska 
82, 02, 13, 02, 2, Krośnice, gmina wiejska 
83, 02, 13, 03, 3, Milicz, gmina miejsko-wiejska 
84, 02, 14, 01, 1, Oleśnica, gmina miejska 
85, 02, 14, 02, 3, Bierutów, gmina miejsko-wiejska 
86, 02, 14, 03, 2, Dobroszyce, gmina wiejska 
87, 02, 14, 04, 2, Dziadowa Kłoda, gmina wiejska 
88, 02, 14, 05, 3, Międzybórz, gmina miejsko-wiejska 
89, 02, 14, 06, 2, Oleśnica, gmina wiejska 
90, 02, 14, 07, 3, Syców, gmina miejsko-wiejska 
91, 02, 14, 08, 3, Twardogóra, gmina miejsko-wiejska 
92, 02, 15, 01, 1, Oława, gmina miejska 
93, 02, 15, 02, 2, Domaniów, gmina wiejska 
94, 02, 15, 03, 3, Jelcz-Laskowice, gmina miejsko-wiejska 
95, 02, 15, 04, 2, Oława, gmina wiejska 
96, 02, 16, 01, 3, Chocianów, gmina miejsko-wiejska 
97, 02, 16, 02, 2, Gaworzyce, gmina wiejska 
98, 02, 16, 03, 2, Grębocice, gmina wiejska 
99, 02, 16, 04, 3, Polkowice, gmina miejsko-wiejska 
100, 02, 16, 05, 3, Przemków, gmina miejsko-wiejska 
101, 02, 16, 06, 2, Radwanice, gmina wiejska 
102, 02, 17, 01, 2, Borów, gmina wiejska 
103, 02, 17, 02, 2, Kondratowice, gmina wiejska 
104, 02, 17, 03, 2, Przeworno, gmina wiejska 
105, 02, 17, 04, 3, Strzelin, gmina miejsko-wiejska 
106, 02, 17, 05, 3, Wiązów, gmina miejsko-wiejska 
107, 02, 18, 01, 2, Kostomłoty, gmina wiejska 
108, 02, 18, 02, 2, Malczyce, gmina wiejska 
109, 02, 18, 03, 2, Miękinia, gmina wiejska 
110, 02, 18, 04, 3, Środa Śląska, gmina miejsko-wiejska 
111, 02, 18, 05, 2, Udanin, gmina wiejska 
112, 02, 19, 01, 1, Świdnica, gmina miejska 
113, 02, 19, 02, 1, Świebodzice, gmina miejska 
114, 02, 19, 03, 2, Dobromierz, gmina wiejska 
115, 02, 19, 04, 3, Jaworzyna Śląska, gmina miejsko-wiejska 
116, 02, 19, 05, 2, Marcinowice, gmina wiejska 
117, 02, 19, 06, 3, Strzegom, gmina miejsko-wiejska 
118, 02, 19, 07, 2, Świdnica, gmina wiejska 
119, 02, 19, 08, 3, Żarów, gmina miejsko-wiejska 
120, 02, 20, 01, 3, Oborniki Śląskie, gmina miejsko-wiejska 
121, 02, 20, 02, 3, Prusice, gmina miejsko-wiejska 
122, 02, 20, 03, 3, Trzebnica, gmina miejsko-wiejska 
123, 02, 20, 04, 2, Wisznia Mała, gmina wiejska 
124, 02, 20, 05, 2, Zawonia, gmina wiejska 
125, 02, 20, 06, 3, Żmigród, gmina miejsko-wiejska 
126, 02, 21, 01, 1, Boguszów-Gorce, gmina miejska 
127, 02, 21, 02, 1, Jedlina-Zdrój, gmina miejska 
128, 02, 21, 03, 1, Szczawno-Zdrój, gmina miejska 
129, 02, 21, 04, 2, Czarny Bór, gmina wiejska 
130, 02, 21, 05, 3, Głuszyca, gmina miejsko-wiejska 
131, 02, 21, 06, 3, Mieroszów, gmina miejsko-wiejska 
132, 02, 21, 07, 2, Stare Bogaczowice, gmina wiejska 
133, 02, 21, 08, 2, Walim, gmina wiejska 
134, 02, 21, 09, 1, Wałbrzych, gmina miejska 
135, 02, 22, 01, 3, Brzeg Dolny, gmina miejsko-wiejska 
136, 02, 22, 02, 2, Wińsko, gmina wiejska 
137, 02, 22, 03, 3, Wołów, gmina miejsko-wiejska 
138, 02, 23, 01, 2, Czernica, gmina wiejska 
139, 02, 23, 02, 2, Długołęka, gmina wiejska 
140, 02, 23, 03, 2, Jordanów Śląski, gmina wiejska 
141, 02, 23, 04, 3, Kąty Wrocławskie, gmina miejsko-wiejska 
142, 02, 23, 05, 2, Kobierzyce, gmina wiejska 
143, 02, 23, 06, 2, Mietków, gmina wiejska 
144, 02, 23, 07, 3, Sobótka, gmina miejsko-wiejska 
145, 02, 23, 08, 3, Święta Katarzyna, gmina miejsko-wiejska 
146, 02, 23, 09, 2, Żórawina, gmina wiejska 
147, 02, 24, 01, 3, Bardo, gmina miejsko-wiejska 
148, 02, 24, 02, 2, Ciepłowody, gmina wiejska 
149, 02, 24, 03, 2, Kamieniec Ząbkowicki, gmina wiejska 
150, 02, 24, 04, 2, Stoszowice, gmina wiejska 
151, 02, 24, 05, 3, Ząbkowice Śląskie, gmina miejsko-wiejska 
152, 02, 24, 06, 3, Ziębice, gmina miejsko-wiejska 
153, 02, 24, 07, 3, Złoty Stok, gmina miejsko-wiejska 
154, 02, 25, 01, 1, Zawidów, gmina miejska 
155, 02, 25, 02, 1, Zgorzelec, gmina miejska 
156, 02, 25, 03, 3, Bogatynia, gmina miejsko-wiejska 
157, 02, 25, 04, 3, Pieńsk, gmina miejsko-wiejska 
158, 02, 25, 05, 2, Sulików, gmina wiejska 
159, 02, 25, 06, 3, Węgliniec, gmina miejsko-wiejska 
160, 02, 25, 07, 2, Zgorzelec, gmina wiejska 
161, 02, 26, 01, 1, Wojcieszów, gmina miejska 
162, 02, 26, 02, 1, Złotoryja, gmina miejska 
163, 02, 26, 03, 2, Pielgrzymka, gmina wiejska 
164, 02, 26, 04, 3, Świerzawa, gmina miejsko-wiejska 
165, 02, 26, 05, 2, Zagrodno, gmina wiejska 
166, 02, 26, 06, 2, Złotoryja, gmina wiejska 
167, 02, 61, 01, 1, Jelenia Góra, gmina miejska 
168, 02, 62, 01, 1, Legnica, gmina miejska 
169, 02, 64, 01, 1, Wrocław, gmina miejska 
170, 04, 01, 01, 1, Aleksandrów Kujawski, gmina miejska 
171, 04, 01, 02, 1, Ciechocinek, gmina miejska 
172, 04, 01, 03, 1, Nieszawa, gmina miejska 
173, 04, 01, 04, 2, Aleksandrów Kujawski, gmina wiejska 
174, 04, 01, 05, 2, Bądkowo, gmina wiejska 
175, 04, 01, 06, 2, Koneck, gmina wiejska 
176, 04, 01, 07, 2, Raciążek, gmina wiejska 
177, 04, 01, 08, 2, Waganiec, gmina wiejska 
178, 04, 01, 09, 2, Zakrzewo, gmina wiejska 
179, 04, 02, 01, 1, Brodnica, gmina miejska 
180, 04, 02, 02, 2, Bobrowo, gmina wiejska 
181, 04, 02, 03, 2, Brodnica, gmina wiejska 
182, 04, 02, 04, 2, Brzozie, gmina wiejska 
183, 04, 02, 05, 3, Górzno, gmina miejsko-wiejska 
184, 04, 02, 06, 2, Bartniczka, gmina wiejska 
185, 04, 02, 07, 3, Jabłonowo Pomorskie, gmina miejsko-wiejska 
186, 04, 02, 08, 2, Osiek, gmina wiejska 
187, 04, 02, 09, 2, Świedziebnia, gmina wiejska 
188, 04, 02, 10, 2, Zbiczno, gmina wiejska 
189, 04, 03, 01, 2, Białe Błota, gmina wiejska 
190, 04, 03, 02, 2, Dąbrowa Chełmińska, gmina wiejska 
191, 04, 03, 03, 2, Dobrcz, gmina wiejska 
192, 04, 03, 04, 3, Koronowo, gmina miejsko-wiejska 
193, 04, 03, 05, 2, Nowa Wieś Wielka, gmina wiejska 
194, 04, 03, 06, 2, Osielsko, gmina wiejska 
195, 04, 03, 07, 2, Sicienko, gmina wiejska 
196, 04, 03, 08, 3, Solec Kujawski, gmina miejsko-wiejska 
197, 04, 04, 01, 1, Chełmno, gmina miejska 
198, 04, 04, 02, 2, Chełmno, gmina wiejska 
199, 04, 04, 03, 2, Kijewo Królewskie, gmina wiejska 
200, 04, 04, 04, 2, Lisewo, gmina wiejska 
201, 04, 04, 05, 2, Papowo Biskupie, gmina wiejska 
202, 04, 04, 06, 2, Stolno, gmina wiejska 
203, 04, 04, 07, 2, Unisław, gmina wiejska 
204, 04, 05, 01, 1, Golub-Dobrzyń, gmina miejska 
205, 04, 05, 02, 2, Ciechocin, gmina wiejska 
206, 04, 05, 03, 2, Golub-Dobrzyń, gmina wiejska 
207, 04, 05, 04, 3, Kowalewo Pomorskie, gmina miejsko-wiejska 
208, 04, 05, 05, 2, Radomin, gmina wiejska 
209, 04, 05, 06, 2, Zbójno, gmina wiejska 
210, 04, 06, 01, 2, Grudziądz, gmina wiejska 
211, 04, 06, 02, 2, Gruta, gmina wiejska 
212, 04, 06, 03, 3, Łasin, gmina miejsko-wiejska 
213, 04, 06, 04, 3, Radzyń Chełmiński, gmina miejsko-wiejska 
214, 04, 06, 05, 2, Rogóźno, gmina wiejska 
215, 04, 06, 06, 2, Świecie nad Osą, gmina wiejska 
216, 04, 07, 01, 1, Inowrocław, gmina miejska 
217, 04, 07, 02, 2, Dąbrowa Biskupia, gmina wiejska 
218, 04, 07, 03, 3, Gniewkowo, gmina miejsko-wiejska 
219, 04, 07, 04, 2, Inowrocław, gmina wiejska 
220, 04, 07, 05, 3, Janikowo, gmina miejsko-wiejska 
221, 04, 07, 06, 3, Kruszwica, gmina miejsko-wiejska 
222, 04, 07, 07, 3, Pakość, gmina miejsko-wiejska 
223, 04, 07, 08, 2, Rojewo, gmina wiejska 
224, 04, 07, 09, 2, Złotniki Kujawskie, gmina wiejska 
225, 04, 08, 01, 1, Lipno, gmina miejska 
226, 04, 08, 02, 2, Bobrowniki, gmina wiejska 
227, 04, 08, 03, 2, Chrostkowo, gmina wiejska 
228, 04, 08, 04, 3, Dobrzyń nad Wisłą, gmina miejsko-wiejska 
229, 04, 08, 05, 2, Kikół, gmina wiejska 
230, 04, 08, 06, 2, Lipno, gmina wiejska 
231, 04, 08, 07, 3, Skępe, gmina miejsko-wiejska 
232, 04, 08, 08, 2, Tłuchowo, gmina wiejska 
233, 04, 08, 09, 2, Wielgie, gmina wiejska 
234, 04, 09, 01, 2, Dąbrowa, gmina wiejska 
235, 04, 09, 02, 2, Jeziora Wielkie, gmina wiejska 
236, 04, 09, 03, 3, Mogilno, gmina miejsko-wiejska 
237, 04, 09, 04, 3, Strzelno, gmina miejsko-wiejska 
238, 04, 10, 01, 3, Kcynia, gmina miejsko-wiejska 
239, 04, 10, 02, 3, Mrocza, gmina miejsko-wiejska 
240, 04, 10, 03, 3, Nakło nad Notecią, gmina miejsko-wiejska 
241, 04, 10, 04, 2, Sadki, gmina wiejska 
242, 04, 10, 05, 3, Szubin, gmina miejsko-wiejska 
243, 04, 11, 01, 1, Radziejów, gmina miejska 
244, 04, 11, 02, 2, Bytoń, gmina wiejska 
245, 04, 11, 03, 2, Dobre, gmina wiejska 
246, 04, 11, 04, 2, Osięciny, gmina wiejska 
247, 04, 11, 05, 3, Piotrków Kujawski, gmina miejsko-wiejska 
248, 04, 11, 06, 2, Radziejów, gmina wiejska 
249, 04, 11, 07, 2, Topólka, gmina wiejska 
250, 04, 12, 01, 1, Rypin, gmina miejska 
251, 04, 12, 02, 2, Brzuze, gmina wiejska 
252, 04, 12, 03, 2, Rogowo, gmina wiejska 
253, 04, 12, 04, 2, Rypin, gmina wiejska 
254, 04, 12, 05, 2, Skrwilno, gmina wiejska 
255, 04, 12, 06, 2, Wąpielsk, gmina wiejska 
256, 04, 13, 01, 3, Kamień Krajeński, gmina miejsko-wiejska 
257, 04, 13, 02, 3, Sępólno Krajeńskie, gmina miejsko-wiejska 
258, 04, 13, 03, 2, Sośno, gmina wiejska 
259, 04, 13, 04, 3, Więcbork, gmina miejsko-wiejska 
260, 04, 14, 01, 2, Bukowiec, gmina wiejska 
261, 04, 14, 02, 2, Dragacz, gmina wiejska 
262, 04, 14, 03, 2, Drzycim, gmina wiejska 
263, 04, 14, 04, 2, Jeżewo, gmina wiejska 
264, 04, 14, 05, 2, Lniano, gmina wiejska 
265, 04, 14, 06, 3, Nowe, gmina miejsko-wiejska 
266, 04, 14, 07, 2, Osie, gmina wiejska 
267, 04, 14, 08, 2, Pruszcz, gmina wiejska 
268, 04, 14, 09, 3, Świecie, gmina miejsko-wiejska 
269, 04, 14, 10, 2, Świekatowo, gmina wiejska 
270, 04, 14, 11, 2, Warlubie, gmina wiejska 
271, 04, 15, 01, 1, Chełmża, gmina miejska 
272, 04, 15, 02, 2, Chełmża, gmina wiejska 
273, 04, 15, 03, 2, Czernikowo, gmina wiejska 
274, 04, 15, 04, 2, Lubicz, gmina wiejska 
275, 04, 15, 05, 2, Łubianka, gmina wiejska 
276, 04, 15, 06, 2, Łysomice, gmina wiejska 
277, 04, 15, 07, 2, Obrowo, gmina wiejska 
278, 04, 15, 08, 2, Wielka Nieszawka, gmina wiejska 
279, 04, 15, 09, 2, Zławieś Wielka, gmina wiejska 
280, 04, 16, 01, 2, Cekcyn, gmina wiejska 
281, 04, 16, 02, 2, Gostycyn, gmina wiejska 
282, 04, 16, 03, 2, Kęsowo, gmina wiejska 
283, 04, 16, 04, 2, Lubiewo, gmina wiejska 
284, 04, 16, 05, 2, Śliwice, gmina wiejska 
285, 04, 16, 06, 3, Tuchola, gmina miejsko-wiejska 
286, 04, 17, 01, 1, Wąbrzeźno, gmina miejska 
287, 04, 17, 02, 2, Dębowa Łąka, gmina wiejska 
288, 04, 17, 03, 2, Książki, gmina wiejska 
289, 04, 17, 04, 2, Płużnica, gmina wiejska 
290, 04, 17, 05, 2, Wąbrzeźno, gmina wiejska 
291, 04, 18, 01, 1, Kowal, gmina miejska 
292, 04, 18, 02, 2, Baruchowo, gmina wiejska 
293, 04, 18, 03, 2, Boniewo, gmina wiejska 
294, 04, 18, 04, 3, Brześć Kujawski, gmina miejsko-wiejska 
295, 04, 18, 05, 2, Choceń, gmina wiejska 
296, 04, 18, 06, 3, Chodecz, gmina miejsko-wiejska 
297, 04, 18, 07, 2, Fabianki, gmina wiejska 
298, 04, 18, 08, 3, Izbica Kujawska, gmina miejsko-wiejska 
299, 04, 18, 09, 2, Kowal, gmina wiejska 
300, 04, 18, 10, 2, Lubanie, gmina wiejska 
301, 04, 18, 11, 3, Lubień Kujawski, gmina miejsko-wiejska 
302, 04, 18, 12, 3, Lubraniec, gmina miejsko-wiejska 
303, 04, 18, 13, 2, Włocławek, gmina wiejska 
304, 04, 19, 01, 3, Barcin, gmina miejsko-wiejska 
305, 04, 19, 02, 2, Gąsawa, gmina wiejska 
306, 04, 19, 03, 3, Janowiec Wielkopolski, gmina miejsko-wiejska 
307, 04, 19, 04, 3, Łabiszyn, gmina miejsko-wiejska 
308, 04, 19, 05, 2, Rogowo, gmina wiejska 
309, 04, 19, 06, 3, Żnin, gmina miejsko-wiejska 
310, 04, 61, 01, 1, Bydgoszcz, gmina miejska 
311, 04, 62, 01, 1, Grudziądz, gmina miejska 
312, 04, 63, 01, 1, Toruń, gmina miejska 
313, 04, 64, 01, 1, Włocławek, gmina miejska 
314, 06, 01, 01, 1, Międzyrzec Podlaski, gmina miejska 
315, 06, 01, 02, 1, Terespol, gmina miejska 
316, 06, 01, 03, 2, Biała Podlaska, gmina wiejska 
317, 06, 01, 04, 2, Drelów, gmina wiejska 
318, 06, 01, 05, 2, Janów Podlaski, gmina wiejska 
319, 06, 01, 06, 2, Kodeń, gmina wiejska 
320, 06, 01, 07, 2, Konstantynów, gmina wiejska 
321, 06, 01, 08, 2, Leśna Podlaska, gmina wiejska 
322, 06, 01, 09, 2, Łomazy, gmina wiejska 
323, 06, 01, 10, 2, Międzyrzec Podlaski, gmina wiejska 
324, 06, 01, 11, 2, Piszczac, gmina wiejska 
325, 06, 01, 12, 2, Rokitno, gmina wiejska 
326, 06, 01, 13, 2, Rossosz, gmina wiejska 
327, 06, 01, 14, 2, Sławatycze, gmina wiejska 
328, 06, 01, 15, 2, Sosnówka, gmina wiejska 
329, 06, 01, 16, 2, Terespol, gmina wiejska 
330, 06, 01, 17, 2, Tuczna, gmina wiejska 
331, 06, 01, 18, 2, Wisznice, gmina wiejska 
332, 06, 01, 19, 2, Zalesie, gmina wiejska 
333, 06, 02, 01, 1, Biłgoraj, gmina miejska 
334, 06, 02, 02, 2, Aleksandrów, gmina wiejska 
335, 06, 02, 03, 2, Biłgoraj, gmina wiejska 
336, 06, 02, 04, 2, Biszcza, gmina wiejska 
337, 06, 02, 05, 3, Frampol, gmina miejsko-wiejska 
338, 06, 02, 06, 2, Goraj, gmina wiejska 
339, 06, 02, 07, 3, Józefów, gmina miejsko-wiejska 
340, 06, 02, 08, 2, Księżpol, gmina wiejska 
341, 06, 02, 09, 2, Łukowa, gmina wiejska 
342, 06, 02, 10, 2, Obsza, gmina wiejska 
343, 06, 02, 11, 2, Potok Górny, gmina wiejska 
344, 06, 02, 12, 3, Tarnogród, gmina miejsko-wiejska 
345, 06, 02, 13, 2, Tereszpol, gmina wiejska 
346, 06, 02, 14, 2, Turobin, gmina wiejska 
347, 06, 03, 01, 1, Rejowiec Fabryczny, gmina miejska 
348, 06, 03, 02, 2, Białopole, gmina wiejska 
349, 06, 03, 03, 2, Chełm, gmina wiejska 
350, 06, 03, 04, 2, Dorohusk, gmina wiejska 
351, 06, 03, 05, 2, Dubienka, gmina wiejska 
352, 06, 03, 06, 2, Kamień, gmina wiejska 
353, 06, 03, 07, 2, Leśniowice, gmina wiejska 
354, 06, 03, 08, 2, Rejowiec Fabryczny, gmina wiejska 
355, 06, 03, 09, 2, Ruda-Huta, gmina wiejska 
356, 06, 03, 10, 2, Sawin, gmina wiejska 
357, 06, 03, 11, 2, Siedliszcze, gmina wiejska 
358, 06, 03, 12, 2, Wierzbica, gmina wiejska 
359, 06, 03, 13, 2, Wojsławice, gmina wiejska 
360, 06, 03, 14, 2, Żmudź, gmina wiejska 
361, 06, 03, 15, 2, Rejowiec, gmina wiejska 
362, 06, 04, 01, 1, Hrubieszów, gmina miejska 
363, 06, 04, 02, 2, Dołhobyczów, gmina wiejska 
364, 06, 04, 03, 2, Horodło, gmina wiejska 
365, 06, 04, 04, 2, Hrubieszów, gmina wiejska 
366, 06, 04, 05, 2, Mircze, gmina wiejska 
367, 06, 04, 06, 2, Trzeszczany, gmina wiejska 
368, 06, 04, 07, 2, Uchanie, gmina wiejska 
369, 06, 04, 08, 2, Werbkowice, gmina wiejska 
370, 06, 05, 01, 2, Batorz, gmina wiejska 
371, 06, 05, 02, 2, Chrzanów, gmina wiejska 
372, 06, 05, 03, 2, Dzwola, gmina wiejska 
373, 06, 05, 04, 2, Godziszów, gmina wiejska 
374, 06, 05, 05, 3, Janów Lubelski, gmina miejsko-wiejska 
375, 06, 05, 06, 2, Modliborzyce, gmina wiejska 
376, 06, 05, 07, 2, Potok Wielki, gmina wiejska 
377, 06, 06, 01, 1, Krasnystaw, gmina miejska 
378, 06, 06, 02, 2, Fajsławice, gmina wiejska 
379, 06, 06, 03, 2, Gorzków, gmina wiejska 
380, 06, 06, 04, 2, Izbica, gmina wiejska 
381, 06, 06, 05, 2, Krasnystaw, gmina wiejska 
382, 06, 06, 06, 2, Kraśniczyn, gmina wiejska 
383, 06, 06, 07, 2, Łopiennik Górny, gmina wiejska 
384, 06, 06, 09, 2, Rudnik, gmina wiejska 
385, 06, 06, 10, 2, Siennica Różana, gmina wiejska 
386, 06, 06, 11, 2, Żółkiewka, gmina wiejska 
387, 06, 07, 01, 1, Kraśnik, gmina miejska 
388, 06, 07, 02, 3, Annopol, gmina miejsko-wiejska 
389, 06, 07, 03, 2, Dzierzkowice, gmina wiejska 
390, 06, 07, 04, 2, Gościeradów, gmina wiejska 
391, 06, 07, 05, 2, Kraśnik, gmina wiejska 
392, 06, 07, 06, 2, Szastarka, gmina wiejska 
393, 06, 07, 07, 2, Trzydnik Duży, gmina wiejska 
394, 06, 07, 08, 2, Urzędów, gmina wiejska 
395, 06, 07, 09, 2, Wilkołaz, gmina wiejska 
396, 06, 07, 10, 2, Zakrzówek, gmina wiejska 
397, 06, 08, 01, 1, Lubartów, gmina miejska 
398, 06, 08, 02, 2, Abramów, gmina wiejska 
399, 06, 08, 03, 2, Firlej, gmina wiejska 
400, 06, 08, 04, 2, Jeziorzany, gmina wiejska 
401, 06, 08, 05, 2, Kamionka, gmina wiejska 
402, 06, 08, 06, 3, Kock, gmina miejsko-wiejska 
403, 06, 08, 07, 2, Lubartów, gmina wiejska 
404, 06, 08, 08, 2, Michów, gmina wiejska 
405, 06, 08, 09, 2, Niedźwiada, gmina wiejska 
406, 06, 08, 10, 3, Ostrów Lubelski, gmina miejsko-wiejska 
407, 06, 08, 11, 2, Ostrówek, gmina wiejska 
408, 06, 08, 12, 2, Serniki, gmina wiejska 
409, 06, 08, 13, 2, Uścimów, gmina wiejska 
410, 06, 09, 01, 3, Bełżyce, gmina miejsko-wiejska 
411, 06, 09, 02, 2, Borzechów, gmina wiejska 
412, 06, 09, 03, 3, Bychawa, gmina miejsko-wiejska 
413, 06, 09, 04, 2, Garbów, gmina wiejska 
414, 06, 09, 05, 2, Głusk, gmina wiejska 
415, 06, 09, 06, 2, Jabłonna, gmina wiejska 
416, 06, 09, 07, 2, Jastków, gmina wiejska 
417, 06, 09, 08, 2, Konopnica, gmina wiejska 
418, 06, 09, 09, 2, Krzczonów, gmina wiejska 
419, 06, 09, 10, 2, Niedrzwica Duża, gmina wiejska 
420, 06, 09, 11, 2, Niemce, gmina wiejska 
421, 06, 09, 12, 2, Strzyżewice, gmina wiejska 
422, 06, 09, 13, 2, Wojciechów, gmina wiejska 
423, 06, 09, 14, 2, Wólka, gmina wiejska 
424, 06, 09, 15, 2, Wysokie, gmina wiejska 
425, 06, 09, 16, 2, Zakrzew, gmina wiejska 
426, 06, 10, 01, 2, Cyców, gmina wiejska 
427, 06, 10, 02, 2, Ludwin, gmina wiejska 
428, 06, 10, 03, 3, Łęczna, gmina miejsko-wiejska 
429, 06, 10, 04, 2, Milejów, gmina wiejska 
430, 06, 10, 05, 2, Puchaczów, gmina wiejska 
431, 06, 10, 06, 2, Spiczyn, gmina wiejska 
432, 06, 11, 01, 1, Łuków, gmina miejska 
433, 06, 11, 02, 1, Stoczek Łukowski, gmina miejska 
434, 06, 11, 03, 2, Adamów, gmina wiejska 
435, 06, 11, 04, 2, Krzywda, gmina wiejska 
436, 06, 11, 05, 2, Łuków, gmina wiejska 
437, 06, 11, 06, 2, Serokomla, gmina wiejska 
438, 06, 11, 07, 2, Stanin, gmina wiejska 
439, 06, 11, 08, 2, Stoczek Łukowski, gmina wiejska 
440, 06, 11, 09, 2, Trzebieszów, gmina wiejska 
441, 06, 11, 10, 2, Wojcieszków, gmina wiejska 
442, 06, 11, 11, 2, Wola Mysłowska, gmina wiejska 
443, 06, 12, 01, 2, Chodel, gmina wiejska 
444, 06, 12, 02, 2, Józefów nad Wisłą, gmina wiejska 
445, 06, 12, 03, 2, Karczmiska, gmina wiejska 
446, 06, 12, 04, 2, Łaziska, gmina wiejska 
447, 06, 12, 05, 3, Opole Lubelskie, gmina miejsko-wiejska 
